epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.61,1.20507,3.52576,1.4006,0.0125,1,0.06855,0.04527,0.82069,3.36173,1.18157,2.5e-05,2.5e-05,2.5e-05
2,246.284,0.86433,3.32791,1.24181,0.01162,1,0.23137,0.11943,0.62743,3.31074,1.08561,6.12625e-05,6.12625e-05,6.12625e-05
3,330.573,0.63859,3.17141,1.0825,0.01097,1,0.43433,0.31916,0.60766,3.30407,1.05283,9.604e-05,9.604e-05,9.604e-05
4,428.944,0.52621,2.94499,1.00558,0.01044,1,0.70946,0.55144,0.65676,3.30615,1.04024,0.000129332,0.000129332,0.000129332
5,508.385,0.52132,2.72817,0.98715,0.01045,1,0.68406,0.51293,0.65456,3.26593,1.04596,0.00016114,0.00016114,0.00016114
6,562.13,0.37566,2.25207,0.92769,0.01144,1,0.71071,0.54177,0.64367,3.21195,1.09045,0.000191463,0.000191463,0.000191463
7,693.613,0.40651,2.12481,0.92256,0.01292,1,0.68571,0.48882,0.64592,3.1629,1.11619,0.0002203,0.0002203,0.0002203
8,744.452,0.36177,2.00812,0.92132,0.01485,1,0.68571,0.49813,0.67276,3.14086,1.12801,0.000247653,0.000247653,0.000247653
9,801.41,0.34784,1.81792,0.90277,0.01987,1,0.66333,0.50556,0.65659,3.09841,1.11203,0.00027352,0.00027352,0.00027352
10,830.68,0.35757,1.64407,0.91139,0.02254,1,0.71071,0.55677,0.68505,3.03867,1.17891,0.000297903,0.000297903,0.000297903
11,854.229,0.35327,1.50316,0.89585,0.02371,1,0.58554,0.45257,0.72082,2.82445,1.24685,0.0003208,0.0003208,0.0003208
12,881.4,0.36289,1.3982,0.91931,0.73123,0.43744,0.58554,0.46746,0.63592,2.71429,1.17909,0.000342213,0.000342213,0.000342213
13,907.436,0.33477,1.14059,0.87975,0.73939,0.5,0.66929,0.5837,0.63708,2.57587,1.24897,0.00036214,0.00036214,0.00036214
14,931.05,0.37346,1.28663,0.91255,0.84631,0.38526,0.75893,0.63931,0.65232,2.60275,1.27772,0.000380582,0.000380582,0.000380582
15,959.708,0.33225,1.08854,0.86695,0.7121,0.1414,0.70479,0.55442,0.68969,2.96436,1.22487,0.00039754,0.00039754,0.00039754
16,985.297,0.354,1.12316,0.87749,0.23149,0.15433,0.65233,0.49907,0.67429,3.06123,1.19326,0.000413012,0.000413012,0.000413012
17,1024.01,0.37395,1.08847,0.91898,0.85655,0.5,0.77113,0.62736,0.73739,2.65176,1.33527,0.000427,0.000427,0.000427
18,1060.28,0.37601,1.04496,0.90414,0.86975,0.5,0.70479,0.57317,0.71648,2.48597,1.31229,0.000439502,0.000439502,0.000439502
19,1100.23,0.33886,0.99993,0.86441,0.8745,0.5,0.74563,0.601,0.6891,2.36154,1.24118,0.00045052,0.00045052,0.00045052
20,1157.53,0.32454,0.96581,0.87106,0.75487,0.5,0.82875,0.68623,0.69037,2.27816,1.27022,0.000460053,0.000460053,0.000460053
21,1203.29,0.3045,0.99336,0.8745,0.70936,0.625,0.80018,0.68949,0.6981,2.2619,1.33652,0.0004681,0.0004681,0.0004681
22,1234.51,0.29231,0.89131,0.88349,0.63524,0.625,0.82875,0.72336,0.74657,2.28151,1.36683,0.000474663,0.000474663,0.000474663
23,1269.46,0.30989,0.94072,0.87596,0.75702,0.70366,0.85018,0.73404,0.71168,2.27989,1.2178,0.00047974,0.00047974,0.00047974
24,1332.89,0.30239,0.89446,0.86211,0.72114,0.69463,0.90018,0.7944,0.65136,2.17927,1.10974,0.000483333,0.000483333,0.000483333
25,1385.18,0.29435,0.86989,0.85226,0.68987,0.69794,0.94143,0.85809,0.59657,2.00977,1.05765,0.00048544,0.00048544,0.00048544
26,1416.91,0.30876,0.92003,0.89043,0.68966,0.74008,0.97,0.86664,0.59152,1.8157,1.06787,0.000486063,0.000486063,0.000486063
27,1447.05,0.32221,0.85641,0.87421,0.68925,0.74817,0.97,0.87076,0.58963,1.87503,1.11212,0.0004852,0.0004852,0.0004852
28,1471.85,0.30611,0.85275,0.88158,0.68934,0.71564,0.95333,0.86848,0.54504,1.9284,1.03175,0.000482852,0.000482852,0.000482852
29,1512.66,0.27339,0.83709,0.84992,0.68934,0.71564,0.95333,0.86848,0.54504,1.9284,1.03175,0.00047902,0.00047902,0.00047902
30,2132.14,0.253,0.80873,0.87734,0.68894,0.73376,0.8575,0.78933,0.49258,1.96831,0.97601,0.000473703,0.000473703,0.000473703
31,2198.67,0.26324,0.75851,0.86393,0.39703,0.625,0.74692,0.70371,0.44461,2.05685,0.93886,0.0004669,0.0004669,0.0004669
32,2257.87,0.27013,0.81883,0.86339,0.27316,0.625,0.68375,0.63269,0.44421,2.02396,0.93017,0.000458613,0.000458613,0.000458613
33,2316.74,0.26746,0.77565,0.83622,0.27316,0.625,0.68375,0.63269,0.44421,2.02396,0.93017,0.00044884,0.00044884,0.00044884
34,2423.39,0.27518,0.84747,0.88307,0.44575,0.75,0.78667,0.73203,0.42571,1.85881,0.91774,0.00043325,0.00043325,0.00043325
35,2554.51,0.28773,0.77541,0.83395,0.64733,0.75,0.8575,0.82989,0.40837,1.74468,0.91305,0.0004085,0.0004085,0.0004085
36,2612.22,0.26544,0.73966,0.84323,0.69086,0.8299,0.995,0.92883,0.39124,1.70109,0.89335,0.00038375,0.00038375,0.00038375
37,2654.74,0.26763,0.77976,0.87805,0.69086,0.8299,0.995,0.92883,0.39124,1.70109,0.89335,0.000359,0.000359,0.000359
38,2676.1,0.25187,0.73157,0.87289,0.69128,0.86821,0.995,0.92883,0.4153,1.61045,0.89496,0.00033425,0.00033425,0.00033425
39,2702.02,0.24556,0.72636,0.85116,0.69313,0.8596,0.995,0.92883,0.43451,1.55044,0.89287,0.0003095,0.0003095,0.0003095
40,2732.55,0.24805,0.7355,0.86731,0.57012,1,0.945,0.87833,0.46176,1.47621,0.90326,0.00028475,0.00028475,0.00028475
41,2753.45,0.21132,1.15704,0.83602,0.57012,1,0.945,0.87833,0.46176,1.47621,0.90326,0.00026,0.00026,0.00026
42,2774.4,0.22797,1.21035,0.85136,0.6179,0.875,0.97,0.88172,0.45439,1.37411,0.90094,0.00023525,0.00023525,0.00023525
43,2797.98,0.21355,1.22193,0.80767,0.80024,0.96224,0.995,0.94525,0.43779,1.40268,0.89569,0.0002105,0.0002105,0.0002105
44,2817.07,0.22818,1.18867,0.80353,0.7322,0.86672,0.995,0.94525,0.43384,1.48839,0.89557,0.00018575,0.00018575,0.00018575
45,2837.26,0.21683,1.20047,0.80648,0.7322,0.86672,0.995,0.94525,0.43384,1.48839,0.89557,0.000161,0.000161,0.000161
46,2856.91,0.21561,1.17621,0.81132,0.67603,1,0.995,0.92884,0.43536,1.48107,0.89818,0.00013625,0.00013625,0.00013625
47,2880.21,0.17555,1.11874,0.79507,0.68981,1,0.995,0.92885,0.44256,1.44358,0.90374,0.0001115,0.0001115,0.0001115
48,2905.53,0.18681,1.08027,0.78186,0.69743,0.99073,0.995,0.92885,0.46211,1.40925,0.92036,8.675e-05,8.675e-05,8.675e-05
49,2954.93,0.16375,1.12397,0.76935,0.69743,0.99073,0.995,0.92885,0.46211,1.40925,0.92036,6.2e-05,6.2e-05,6.2e-05
50,2989.74,0.18668,1.0664,0.81209,0.69835,0.98988,0.995,0.89999,0.47856,1.36328,0.94588,3.725e-05,3.725e-05,3.725e-05
